PROV1;Arverynn;x
PROV2;Ynn River;x
PROV3;Trollsbay;x
PROV4;Ynn River;x
PROV5;Ynn River;x
PROV6;Ynn River;x
PROV7;Ynn River;x
PROV8;Ynn River;x
PROV9;Ynn River;x
PROV10;Ynn River;x
PROV11;Ynn River;x
PROV12;Vels Bacar;x
PROV13;Vels Amsto;x
PROV14;Thromshana;x
PROV15;Lesthrom;x
PROV16;Mecpomen;x
PROV17;Svesten;x
PROV18;Krebcestor;x
PROV19;Velenynn;x
PROV20;Stanyrhrada;x
PROV21;Kysearuges;x
PROV22;Zakarozden;x
PROV23;Solpoel;x
PROV24;Horpanas;x
PROV25;Trompolere;x
PROV26;Ilavpoel;x
PROV27;Arvezl;x
PROV28;Rozadav;x
PROV29;Pomemnik;x
PROV30;Davstuir;x
PROV31;Meialdeked;x
PROV32;Meszgar;x
PROV33;Amstoynn;x
PROV34;Anchonikrarh;x
PROV35;Pashoddmyr;x
PROV36;Sederonbnn;x
PROV37;Sarda13;x
PROV38;Vels Cestor;x
PROV39;Sarda14;x
PROV40;Sarda15;x
PROV41;Stenurynn;x
PROV42;Sarda16;x
PROV43;Sarda17;x
PROV44;Sarda18;x
PROV45;Sardobnn;x
PROV46;Kanvels;x
PROV47;Sardacestor;x
PROV48;Sarda19;x
PROV49;Norobnn;x
PROV50;Sarda20;x
PROV51;Vels Domfan;x
PROV52;Adbrabohvi;x
PROV53;Atarvizan;x
PROV54;Samelynn;x
PROV55;Karniestho;x
PROV56;Sarda21;x
PROV57;Fedhevych;x
PROV58;Vuhium;x
PROV59;Sarda22;x
PROV60;Nizamsto;x
PROV61;Nizvels;x
PROV62;Yemarkan;x
PROV63;Selocshana;x
PROV64;Davstenur;x
PROV65;Sarda23;x
PROV66;Fadheshana;x
PROV67;Vels Fadhecai;x
PROV68;Konyrhrada;x
PROV69;Minata;x
PROV70;Adbraseloc;x
PROV71;Epadobnn;x
